code,description
29.32.30.230,"Кузова (кабины), их узлы и детали"
29.32.30.231,Кузова (кабины)
29.32.30.232,Двери транспортных средств
29.32.30.233,"Ручки, дверные петли, наружные кнопки открывания дверей и багажников"
29.32.30.234,Замки дверей
29.32.30.239,"Узлы и детали кабин (кузовов), не включенные в другие группировки"
29.32.30.240,"Передачи карданные, валы приводные, шарниры неравных и равных угловых скоростей"
29.32.30.250,"Мосты ведущие с дифференциалом в сборе, полуоси"
29.32.30.260,"Системы вентиляции, отопления и кондиционирования воздуха, их узлы и детали"
29.32.30.261,"Отопители воздушно-жидкостные, интегральные охладители, отопители-охладители, распределительные устройства для подачи воздуха; холодильные компрессионные или других типов установки"
29.32.30.262,"Подогреватели-отопители независимые воздушные и жидкостные автоматического действия, работающие от бортовой сети транспортных средств на жидком или газообразном топливе, в том числе подогреватели предпусковые"
29.32.30.263,"Кондиционеры автомобильные, их узлы и детали"
29.32.30.269,"Узлы и детали систем вентиляции, отопления и кондиционирования воздуха, не включенные в другие группировки"
29.32.30.270,"Устройства сцепные (тягово-сцепные, седельно-сцепные и буксирные)"
29.32.30.280,Узлы и детали подъемного и опрокидывающего устройств платформ и кабин
29.32.30.310,"Цепи, натяжные устройства цепей и их части"
29.32.30.390,"Части и принадлежности для автотранспортных средств прочие, не включенные в другие группировки"
29.32.9,"Услуги по сборке частей и принадлежностей для автотранспортных средств, не включенные в другие группировки; услуги по сборке полных конструктивных комплектов для автотранспортных средств в процессе производства; отдельные операции процесса производства прочих частей и принадлежностей для автотранспортных средств, выполняемые субподрядчиком"
29.32.91,"Услуги по сборке полных комплектов для автотранспортных средств, предоставляемые субподрядчиком"
29.32.91.000,"Услуги по сборке полных комплектов для автотранспортных средств, предоставляемые субподрядчиком"
29.32.92,"Услуги по сборке частей и принадлежностей для автотранспортных средств, не включенные в другие группировки"
29.32.92.000,"Услуги по сборке частей и принадлежностей для автотранспортных средств, не включенные в другие группировки"
29.32.99,"Операции процесса производства прочих частей и принадлежностей для автотранспортных средств отдельные, выполняемые субподрядчиком"
29.32.99.000,"Операции процесса производства прочих частей и принадлежностей для автотранспортных средств отдельные, выполняемые субподрядчиком"
30,"Средства транспортные и оборудование, прочие"
30.1,"Корабли, суда и лодки"
30.11,"Корабли, суда и плавучие конструкции"
30.11.1,Корабли военные
30.11.10,Корабли военные
30.11.10.000,Корабли военные
30.11.2,Суда и аналогичные плавучие средства для перевозки людей или грузов
30.11.21,"Суда круизные, суда экскурсионные и аналогичные плавучие средства для перевозки пассажиров; паромы всех типов"
30.11.21.110,Суда морские пассажирские
30.11.21.111,Суда круизные морские
30.11.21.112,Суда экскурсионные морские
30.11.21.113,Суда для обслуживания регулярных пассажирских линий морские
30.11.21.114,Паромы пассажирские морские
30.11.21.119,Суда морские пассажирские прочие
30.11.21.120,Суда речные пассажирские
30.11.21.130,"Суда пассажирские смешанного плавания ""река - море"""
30.11.22,"Танкеры для перевозки нефти, нефтепродуктов химических продуктов, сжиженного газа"
30.11.22.110,Суда наливные морские
30.11.22.111,Танкеры морские для перевозки нефти и нефтепродуктов
30.11.22.112,Суда морские для перевозки химических продуктов
30.11.22.113,Суда морские для перевозки сжиженных газов (газовозы)
30.11.22.119,Суда морские для перевозки прочих жидких грузов
30.11.22.120,Суда наливные речные
30.11.22.121,Танкеры речные для перевозки нефти и нефтепродуктов
30.11.22.122,Суда речные для перевозки химических продуктов
30.11.22.123,Суда речные для перевозки сжиженных газов (газовозы)
30.11.22.129,Суда речные для перевозки прочих жидких грузов
30.11.22.130,"Суда наливные смешанного плавания ""река - море"""
30.11.23,"Суда рефрижераторные, кроме танкеров"
30.11.23.110,"Суда рефрижераторные морские, кроме танкеров"
30.11.23.120,"Суда рефрижераторные речные, кроме танкеров"
30.11.23.130,"Суда рефрижераторные смешанного плавания ""река - море"", кроме танкеров"
30.11.24,Суда сухогрузные
30.11.24.110,Суда сухогрузные морские
30.11.24.111,Суда сухогрузные морские общего назначения
30.11.24.112,Суда контейнерные морские
30.11.24.113,Суда трейлерные морские
30.11.24.114,Суда для перевозки навалочных грузов морские
30.11.24.115,Суда грузопассажирские морские
30.11.24.116,Суда морские грузовые комбинированные
30.11.24.117,Лесовозы морские
30.11.24.118,"Паромы морские самоходные железнодорожные, автомобильно-транспортные"
30.11.24.119,Суда сухогрузные морские прочие
30.11.24.120,Суда сухогрузные речные
30.11.24.121,Суда сухогрузные речные самоходные
30.11.24.122,Суда сухогрузные речные несамоходные
30.11.24.130,"Суда сухогрузные смешанного плавания ""река - море"""
30.11.3,Суда рыболовные и прочие суда специального назначения
30.11.31,Суда рыболовные; суда-рыбозаводы и прочие суда для переработки или консервирования рыбных продуктов
30.11.31.110,Суда рыболовные
30.11.31.111,Траулеры
30.11.31.112,Дрифтеры
30.11.31.113,Сейнеры
30.11.31.114,Ярусники
30.11.31.115,Суда китобойные
30.11.31.116,Суда зверобойные
30.11.31.119,Суда рыболовные прочие
30.11.31.120,Суда-рыбозаводы
30.11.31.190,Суда прочие для переработки или консервирования рыбных продуктов
30.11.32,Буксиры и суда-толкачи
30.11.32.110,Суда морские буксирные
30.11.32.111,Буксиры морские
30.11.32.112,Буксиры рейдовые
30.11.32.113,Буксиры портовые
30.11.32.114,Буксиры морские спасательные
30.11.32.115,Суда-толкачи морские
30.11.32.116,Буксиры-толкачи морские
30.11.32.120,Суда буксирные речные
30.11.32.121,Буксиры речные
30.11.32.122,"Суда-толкачи речные, озерные"
30.11.32.123,Буксиры-толкачи речные
30.11.32.130,Катера судовые буксирные
30.11.33,"Земснаряды; плавучие маяки, плавучие краны; прочие суда"
30.11.33.110,Земснаряды
30.11.33.120,Маяки плавучие
30.11.33.130,Суда пожарные
30.11.33.140,Краны плавучие
30.11.33.190,Суда прочие
30.11.4,Платформы плавучие или погружные и инфраструктура
30.11.40,Платформы плавучие или погружные и инфраструктура
30.11.40.000,Платформы плавучие или погружные и инфраструктура
30.11.5,"Конструкции плавучие прочие (включая плоты, понтоны, кессоны, дебаркадеры, буи и бакены)"
30.11.50,"Конструкции плавучие прочие (включая плоты, понтоны, кессоны, дебаркадеры, буи и бакены)"
30.11.50.110,Плоты
30.11.50.120,Понтоны
30.11.50.121,Понтоны речные
30.11.50.129,Понтоны прочие
30.11.50.130,Кессоны
30.11.50.140,Дебаркадеры
30.11.50.150,Буи и бакены
30.11.50.160,Платформы и конструкции морские плавучие для подготовки к пуску и запуску ракет космического назначения
30.11.50.170,Причалы плавучие
30.11.50.190,"Конструкции плавучие прочие, не включенные в другие группировки"
30.11.9,"Услуги по переоборудованию, восстановлению и оснащению судов, плавучих платформ и конструкций; операции процесса производства судов и плавучих конструкций отдельные, выполняемые субподрядчиком"
30.11.91,"Услуги по переоборудованию и восстановлению судов, плавучих платформ и конструкций"
30.11.91.000,"Услуги по переоборудованию и восстановлению судов, плавучих платформ и конструкций"
30.11.92,"Услуги по оснащению судов, плавучих платформ и конструкций"
30.11.92.000,"Услуги по оснащению судов, плавучих платформ и конструкций"
30.11.99,"Операции процесса производства судов и плавучих конструкций отдельные, выполняемые субподрядчиком"
30.11.99.000,"Операции процесса производства судов и плавучих конструкций отдельные, выполняемые субподрядчиком"
30.12,Суда прогулочные и спортивные
30.12.1,Суда прогулочные и спортивные
30.12.11,Суда парусные (кроме надувных) прогулочные или спортивные со вспомогательным двигателем или без него
30.12.11.110,Суда парусные (кроме надувных) прогулочные со вспомогательным двигателем или без него
30.12.11.120,Суда парусные спортивные со вспомогательным двигателем или без него
30.12.12,Суда надувные прогулочные или спортивные
30.12.12.110,Суда надувные прогулочные
30.12.12.120,Суда надувные спортивные
30.12.19,"Суда прогулочные или спортивные прочие; лодки гребные, шлюпки и каноэ"
30.12.19.110,Суда прогулочные прочие
30.12.19.120,Суда спортивные прочие
30.12.19.130,Лодки гребные
30.12.19.140,Шлюпки
30.12.19.150,Каноэ
30.12.9,"Услуги по производству прогулочных или спортивных судов отдельные, выполняемые субподрядчиком"
30.12.99,"Услуги по производству прогулочных или спортивных судов отдельные, выполняемые субподрядчиком"
30.12.99.000,"Услуги по производству прогулочных или спортивных судов отдельные, выполняемые субподрядчиком"
30.2,Локомотивы железнодорожные и подвижной состав
30.2,Локомотивы железнодорожные и подвижной состав
30.20.1,Локомотивы железнодорожные и тендеры локомотивов
30.20.11,Локомотивы железнодорожные с питанием от внешнего источника электроэнергии
30.20.11.110,Электровозы магистральные
30.20.11.111,Электровозы магистральные постоянного тока
30.20.11.112,Электровозы магистральные переменного тока
30.20.11.113,Электровозы магистральные переменно-постоянного тока
30.20.11.120,Электровозы маневровые
30.20.11.130,Электровозы промышленные
30.20.11.140,Электровозы рудничные
30.20.12,Локомотивы дизель-электрические
30.20.12.110,Тепловозы магистральные
30.20.12.120,Тепловозы маневровые и промышленные
30.20.12.130,Тепловозы узкой колеи
30.20.13,Локомотивы железнодорожные прочие; тендеры локомотивов
30.20.13.110,Локомотивы железнодорожные прочие
30.20.13.111,Паровозы
30.20.13.112,Газотурбовозы
30.20.13.119,"Локомотивы железнодорожные прочие, не включенные в другие группировки"
30.20.13.120,Тендеры локомотивов
30.20.2,"Вагоны железнодорожные или трамвайные пассажирские самоходные (моторные), вагоны товарные (багажные) и платформы открытые, кроме транспортных средств, предназначенных для технического обслуживания или ремонта"
30.20.20,"Вагоны железнодорожные или трамвайные пассажирские самоходные (моторные), вагоны товарные (багажные) и платформы открытые, кроме транспортных средств, предназначенных для технического обслуживания или ремонта"
30.20.20.110,Вагоны пассажирские железнодорожные самоходные (моторные)
30.20.20.111,Вагоны пассажирские электропоездов самоходные (моторные)
30.20.20.112,Дизель-поезда
30.20.20.113,Автомотрисы
30.20.20.114,Автобусы рельсовые
30.20.20.120,Вагоны трамвайные пассажирские самоходные (моторные)
30.20.20.130,"Вагоны товарные (багажные) и платформы открытые, кроме транспортных средств, предназначенных для технического обслуживания или ремонта"
30.20.20.140,Вагоны метрополитена самоходные (моторные)
30.20.3,Состав подвижной прочий
30.20.31,"Средства транспортные, предназначенные для технического обслуживания или ремонта железнодорожных или трамвайных путей"
30.20.31.110,"Средства транспортные, предназначенные для технического обслуживания или ремонта железнодорожных путей"
30.20.31.111,Машины для оздоровления земляного полотна
30.20.31.112,Машины для очистки и дозировки балласта
30.20.31.113,"Машины для сборки, укладки и разборки путевой решетки"
30.20.31.114,"Машины для уплотнения, выправки, подбивки и рихтовки путей"
30.20.31.115,"Машины для очистки путей от снега, мусора и растительности"
30.20.31.116,"Машины для погрузки и транспортирования звеньев путей, материалов и перевозки людей, не включенные в другие группировки"
30.20.31.117,Машины энергосиловые и сварочные путевые и агрегаты
30.20.31.118,Машины и инструменты для работы с отдельными элементами верхнего строения пути
30.20.31.120,Оборудование путевое для контроля и ремонта железнодорожных путей
30.20.31.121,"Дефектоскопы, вагоны дефектоскопные, тележки"
30.20.31.122,"Тележки, вагоны и инструменты путеизмерительные"
30.20.31.123,Машины ремонтные рельсошлифовальные
30.20.31.124,Машины шпалоремонтные
30.20.31.125,Машины для перевозки ремонтных бригад
30.20.31.129,Оборудование и механизмы для ремонта путей узкой колеи
30.20.31.130,"Средства транспортные, предназначенные для технического обслуживания или ремонта трамвайных путей"
30.20.32,Вагоны железнодорожные или трамвайные пассажирские немоторные; вагоны багажные и прочие вагоны специального назначения
30.20.32.110,Вагоны пассажирские железнодорожные
30.20.32.111,Вагоны пассажирские локомотивной тяги
30.20.32.112,Вагоны пассажирские электропоездов немоторные
30.20.32.120,Вагоны трамвайные пассажирские немоторные
30.20.32.130,Вагоны метрополитена немоторные
30.20.32.140,Вагоны багажные
30.20.32.190,Вагоны специального назначения прочие
30.20.33,"Вагоны железнодорожные или трамвайные грузовые и вагоны-платформы, несамоходные"
30.20.33.110,Вагоны грузовые магистральные широкой колеи
30.20.33.111,Вагоны грузовые крытые
30.20.33.112,Полувагоны
30.20.33.113,Вагоны-цистерны
30.20.33.114,Вагоны изотермические
30.20.33.115,Вагоны-самосвалы (думпкары)
30.20.33.116,Вагоны-хопперы
30.20.33.117,Транспортеры железнодорожные
30.20.33.118,Вагоны-платформы железнодорожные
30.20.33.121,Вагоны бункерного типа
30.20.33.129,"Вагоны грузовые прочие, не включенные в другие группировки"
30.20.33.130,Вагоны грузовые узкой колеи
30.20.33.140,Вагоны трамвайные грузовые
30.20.4,Части железнодорожных локомотивов или трамвайных моторных вагонов или прочего подвижного состава; путевое оборудование и устройства и их части; механическое оборудование для управления движением
30.20.40,Части железнодорожных локомотивов или трамвайных моторных вагонов или прочего подвижного состава; путевое оборудование и устройства и их части; механическое оборудование для управления движением
30.20.40.110,"Комплектующие (запасные части) железнодорожных локомотивов, не имеющие самостоятельных группировок"
30.20.40.111,"Комплектующие (запасные части) магистральных электровозов, не имеющие самостоятельных группировок"
30.20.40.112,"Комплектующие (запасные части) магистральных тепловозов, не имеющие самостоятельных группировок"
30.20.40.113,"Комплектующие (запасные части) маневровых и промышленных тепловозов, не имеющие самостоятельных группировок"
30.20.40.119,"Комплектующие (запасные части) прочих железнодорожных локомотивов, не имеющие самостоятельных группировок"
30.20.40.120,"Комплектующие (запасные части) моторных трамвайных вагонов, не имеющие самостоятельных группировок"
30.20.40.130,"Комплектующие (запасные части) вагонов метрополитена, не имеющие самостоятельных группировок"
30.20.40.140,"Комплектующие (запасные части) прочего подвижного состава, не имеющие самостоятельных группировок"
30.20.40.141,"Комплектующие (запасные части) железнодорожных пассажирских вагонов, не имеющие самостоятельных группировок"
30.20.40.142,"Комплектующие (запасные части) вагонов электропоездов, не имеющие самостоятельных группировок"
30.20.40.143,"Комплектующие (запасные части) железнодорожных грузовых вагонов, не имеющие самостоятельных группировок"
30.20.40.144,"Комплектующие (запасные части) транспортных средств, предназначенных для технического обслуживания или ремонта железнодорожных путей, не имеющие самостоятельных группировок"
30.20.40.149,"Комплектующие (запасные части) прочего подвижного состава, не включенного в другие группировки, не имеющие самостоятельных группировок"
30.20.40.150,Оборудование тормозное подвижного состава железных дорог
30.20.40.151,Устройства блокировочные
30.20.40.152,Краны машиниста
30.20.40.153,Воздухораспределители
30.20.40.154,Приборы автоматического изменения давления
30.20.40.155,Цилиндры
30.20.40.156,Авторегуляторы
30.20.40.157,Камеры и резервуары
30.20.40.158,Краны и клапаны
30.20.40.159,Рукава соединительные
30.20.40.161,Передачи рычажные тормозные
30.20.40.169,Арматура тормозная прочая
30.20.40.170,"Оборудование и устройства путевые и их комплектующие (запасные части), не имеющие самостоятельных группировок"
30.20.40.171,Переводы стрелочные широкой колеи
30.20.40.172,"Пересечения глухие, съезды перекрестные, крестовины, скрепления широкой колеи"
30.20.40.173,Вагонозамедлители
30.20.40.174,Конструкции верхнего строения пути узкой колеи
30.20.40.175,Оборудование стрелочное специальное
30.20.40.180,Оборудование управления движением механическое
30.20.9,"Услуги по восстановлению и переоборудованию (комплектованию) железнодорожных и трамвайных локомотивов и подвижного состава; операции процесса производства железнодорожных локомотивов и прочего подвижного состава отдельные, выполняемые субподрядчиком"
30.20.91,"Услуги по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава"
30.20.91.000,"Услуги по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава"
30.20.99,"Операции процесса производства железнодорожных локомотивов и прочего подвижного состава отдельные, выполняемые субподрядчиком"
30.20.99.000,"Операции процесса производства железнодорожных локомотивов и прочего подвижного состава отдельные, выполняемые субподрядчиком"
30.3,Аппараты летательные и космические и соответствующее оборудование
30.3,Аппараты летательные и космические и соответствующее оборудование
30.30.1,"Установки силовые и двигатели летательных или космических аппаратов; наземные тренажеры для летного состава, их части"
30.30.11,Двигатели летательных аппаратов с искровым зажиганием
30.30.11.000,Двигатели летательных аппаратов с искровым зажиганием
30.30.12,Двигатели турбореактивные и турбовинтовые
30.30.12.110,Двигатели турбореактивные
30.30.12.120,Двигатели турбовинтовые
30.30.13,"Двигатели реактивные, кроме турбореактивных, и их части"
30.30.13.000,"Двигатели реактивные, кроме турбореактивных, и их части"
30.30.14,Тренажеры наземные для летного состава и их части
30.30.14.000,Тренажеры наземные для летного состава и их части
30.30.15,Части двигателей летательных аппаратов с искровым зажиганием
30.30.15.000,Части двигателей летательных аппаратов с искровым зажиганием
30.30.16,Части турбореактивных или турбовинтовых двигателей
30.30.16.000,Части турбореактивных или турбовинтовых двигателей
30.30.2,"Аэростаты и дирижабли; планеры, дельтапланы и прочие безмоторные летательные аппараты"
30.30.20,"Аэростаты и дирижабли; планеры, дельтапланы и прочие безмоторные летательные аппараты"
30.30.20.110,Аэростаты и дирижабли
30.30.20.120,Планеры
30.30.20.130,Дельтапланы
30.30.20.190,Аппараты летательные безмоторные прочие
30.30.3,Вертолеты и самолеты
30.30.31,Вертолеты
30.30.31.110,Вертолеты пассажирские
30.30.31.120,Вертолеты грузовые
30.30.32,Самолеты и прочие летательные аппараты с массой пустого снаряженного аппарата не более 2000 кг
30.30.32.110,Самолеты с массой пустого снаряженного аппарата не более 2000 кг
30.30.32.120,Аппараты летательные прочие с массой пустого снаряженного аппарата не более 2000 кг
30.30.33,"Самолеты и прочие летательные аппараты с массой пустого снаряженного аппарата свыше 2000 кг, но не более 15000 кг"
30.30.33.110,"Самолеты с массой пустого снаряженного аппарата свыше 2000 кг, но не более 15000 кг"
30.30.33.120,"Аппараты летательные прочие с массой пустого снаряженного аппарата свыше 2000 кг, но не более 15000 кг"
30.30.34,Самолеты и прочие летательные аппараты с массой пустого снаряженного аппарата свыше 15000 кг
30.30.34.110,Самолеты с массой пустого снаряженного аппарата свыше 15000 кг
30.30.34.120,Аппараты летательные прочие с массой пустого снаряженного аппарата свыше 15000 кг
30.30.4,Аппараты космические (в том числе спутники) и космические ракеты-носители
30.30.40,Аппараты космические (в том числе спутники) и космические ракеты-носители
30.30.40.110,Аппараты космические (в том числе спутники)
30.30.40.111,Корабли космические
30.30.40.112,Станции космические
30.30.40.113,Спутники космические
30.30.40.119,Аппараты космические прочие
30.30.40.120,Ракеты-носители космические
30.30.40.130,Ракеты баллистические межконтинентальные
30.30.5,Части летательных и космических аппаратов прочие
30.30.50,Части летательных и космических аппаратов прочие
30.30.50.110,"Комплектующие (запасные части) летательных аппаратов, не имеющие самостоятельных группировок"
30.30.50.120,"Комплектующие (запасные части) космических аппаратов, не имеющие самостоятельных группировок"
30.30.6,Услуги по капитальному ремонту и модернизации (переоборудованию) летательных аппаратов и двигателей летательных аппаратов
30.30.60,Услуги по капитальному ремонту и модернизации (переоборудованию) летательных аппаратов и двигателей летательных аппаратов
30.30.60.110,Услуги по восстановлению двигателей воздушных летательных аппаратов
30.30.60.120,Услуги по восстановлению двигателей ракет космического назначения и их составных частей
30.30.60.130,Услуги по восстановлению вертолетов
30.30.60.140,"Услуги по восстановлению самолетов и прочих воздушных летательных аппаратов, кроме вертолетов, двигателей летательных аппаратов"
30.30.60.150,"Услуги по восстановлению составных частей ракет космического назначения, кроме двигателей ракет космического назначения"
30.30.60.190,"Услуги по капитальному ремонту и модернизации (переоборудованию) летательных аппаратов и двигателей летательных аппаратов прочие, не включенные в другие группировки"
30.30.9,"Операции процесса производства аппаратов летательных и кораблей космических и соответствующего оборудования отдельные, выполняемые субподрядчиком"
30.30.99,"Операции процесса производства аппаратов летательных и кораблей космических и соответствующего оборудования отдельные, выполняемые субподрядчиком"
30.30.99.000,"Операции процесса производства аппаратов летательных и кораблей космических и соответствующего оборудования отдельные, выполняемые субподрядчиком"
30.4,Машины боевые военные
30.4,Машины боевые военные
30.40.1,"Танки и прочие боевые самоходные бронированные машины, и их части"
30.40.10,"Танки и прочие боевые самоходные бронированные машины, и их части"
30.40.10.110,Танки
30.40.10.120,Машины боевые самоходные бронированные прочие
30.40.10.190,"Комплектующие (запасные части) танков и прочих боевых самоходных бронированных машин, не имеющие самостоятельных группировок"
30.40.9,"Услуги по производству военных боевых машин отдельные, выполняемые субподрядчиком"
30.40.99,"Услуги по производству военных боевых машин отдельные, выполняемые субподрядчиком"
30.40.99.000,"Услуги по производству военных боевых машин отдельные, выполняемые субподрядчиком"
30.9,"Средства транспортные и оборудование, не включенные в другие группировки"
30.91,Мотоциклы
30.91.1,Мотоциклы и мотоциклетные коляски
30.91.11,Мотоциклы и велосипеды с поршневым двигателем внутреннего сгорания с рабочим объемом цилиндров не более 50 см3
30.91.11.110,Мотоциклы с поршневым двигателем внутреннего сгорания с рабочим объемом цилиндров не более 50 см3
30.91.11.120,Велосипеды с поршневым двигателем внутреннего сгорания с рабочим объемом цилиндров не более 50 см3
30.91.12,Мотоциклы с поршневым двигателем внутреннего сгорания с рабочим объемом цилиндров свыше 50 см3
30.91.12.000,Мотоциклы с поршневым двигателем внутреннего сгорания с рабочим объемом цилиндров свыше 50 см3
30.91.13,"Мотоциклы, не включенные в другие группировки; мотоциклетные коляски"
30.91.13.110,"Мотоциклы, не включенные в другие группировки"
30.91.13.111,Мотороллеры
30.91.13.112,Мопеды
30.91.13.113,Мокики
30.91.13.114,Скутеры
30.91.13.119,"Мотоциклы прочие, не включенные в другие группировки"
30.91.13.120,Коляски мотоциклетные
30.91.2,Части и принадлежности мотоциклов и мотоциклетных колясок
30.91.20,Части и принадлежности мотоциклов и мотоциклетных колясок
30.91.20.110,"Комплектующие (запасные части) мотоциклов, не имеющие самостоятельных группировок"
30.91.20.120,"Комплектующие (запасные части) прицепов боковых мотоциклетных, не имеющие самостоятельных группировок"
30.91.3,Двигатели внутреннего сгорания мотоциклетные
30.91.31,"Двигатели внутреннего сгорания поршневые с искровым зажиганием, для мотоциклов с рабочим объемом цилиндров не более 1000 см3"
30.91.31.000,"Двигатели внутреннего сгорания поршневые с искровым зажиганием, для мотоциклов с рабочим объемом цилиндров не более 1000 см3"
30.91.32,"Двигатели внутреннего сгорания поршневые с искровым зажиганием, для мотоциклов с рабочим объемом цилиндров свыше 1000 см3"
30.91.32.000,"Двигатели внутреннего сгорания поршневые с искровым зажиганием, для мотоциклов с рабочим объемом цилиндров свыше 1000 см3"
30.91.9,"Услуги по производству мотоциклов отдельные, выполняемые субподрядчиком"
30.91.99,"Услуги по производству мотоциклов отдельные, выполняемые субподрядчиком"
30.91.99.000,"Услуги по производству мотоциклов отдельные, выполняемые субподрядчиком"
30.92,Велосипеды и коляски инвалидные
30.92.1,"Велосипеды двухколесные и прочие, без двигателя"
30.92.10,"Велосипеды двухколесные и прочие, без двигателя"
30.92.10.110,Велосипеды транспортные
30.92.10.111,Велосипеды транспортные для взрослых
30.92.10.112,Велосипеды транспортные для подростков
30.92.10.113,Велосипеды транспортные для младших школьников
30.92.10.120,Велосипеды спортивные
30.92.10.130,Велосипеды двухколесные для детей
30.92.10.190,Велосипеды прочие без двигателя
30.92.2,"Коляски инвалидные, кроме частей и принадлежностей"
30.92.20,"Коляски инвалидные, кроме частей и принадлежностей"
30.92.20.000,"Коляски инвалидные, кроме частей и принадлежностей"
30.92.3,"Части и принадлежности двухколесных велосипедов и прочих видов велосипедов, без двигателя, и инвалидных колясок"
30.92.30,"Части и принадлежности двухколесных велосипедов и прочих видов велосипедов, без двигателя, и инвалидных колясок"
30.92.30.110,"Комплектующие (запасные части) двухколесных и прочих велосипедов без двигателя, не имеющие самостоятельных группировок"
30.92.30.120,"Комплектующие (запасные части) инвалидных колясок, не имеющие самостоятельных группировок"
30.92.4,Коляски детские и их части
30.92.40,Коляски детские и их части
30.92.40.110,Коляски детские
30.92.40.120,"Комплектующие (запасные части) детских колясок, не имеющие самостоятельных группировок"
30.92.9,"Услуги по производству велосипедов и инвалидных колясок отдельные, выполняемые субподрядчиком"
30.92.99,"Услуги по производству велосипедов и инвалидных колясок отдельные, выполняемые субподрядчиком"
30.92.99.000,"Услуги по производству велосипедов и инвалидных колясок отдельные, выполняемые субподрядчиком"
30.99,"Средства транспортные и оборудование прочие, не включенные в другие группировки"
