code,description
01.02.10.48.06.22,"ТУБУСЫ ДЛЯ РЕЗЕКТОСКОПОВ ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ"""
01.02.10.48.06.23,"ФИЛЬТРЫ ГАЗОВЫЕ И БАКТЕРИАЛЬНЫЕ, АДАПТЕРЫ ДЛЯ ФИЛЬТРОВ ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ"""
01.02.10.48.06.24,"ШНУРЫ ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ"""
01.02.10.48.06.25,"ЩИПЦЫ БИОПСИЙНЫЕ ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ"""
01.02.10.48.06.26,"ЭЛЕКТРОДЫ РАБОЧИЕ И НЕЙТРАЛЬНЫЕ ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ"""
01.02.10.48.07,"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.01,"АДАПТЕРЫ ДЛЯ ИНСТРУМЕНТОВ/ИРРИГАЦИИ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.02,"АППЛИКАТОРЫ УЛЬТРАЗВУКОВЫЕ БАЛЛОННЫЕ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.03,"БАНКИ ОТСОСА ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.12,"ПРИНАДЛЕЖНОСТИ ДЛЯ ИНСУФФЛЯТОРА ""УКР"" ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.06.17,"ПЕТЛИ ЭНДОСКОПИЧЕСКИЕ ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ"""
01.02.10.48.07.11,"ПРИНАДЛЕЖНОСТИ ДЛЯ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ""OLYMPUS"""
01.02.10.48.07.10,"ЗАГУБНИКИ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.08,"КЛАПАНЫ ВОДА/ВОЗДУХ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.13.01,"КРЫШКИ С ПОПЛАВКОМ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.12.01,"ТРУБКИ ГАЗОВЫЕ ДЛЯ ИНСУФФЛЯТОРА ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.12.02,"ПЕРЕХОДНИКИ МЕДИЦИНСКОГО ГАЗОПРОВОДА ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.12.03,"ШЛАНГИ ДЛЯ СОЕДИНЕНИЯ С БАЛЛОНОМ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.13,"ПРИНАДЛЕЖНОСТИ ДЛЯ ЭНДОСКОПИЧЕСКИХ АСПИРАТОРОВ ""OLYMPUS"""
01.02.10.48.07.07,"КЛАПАНЫ БИОПСИЙНЫЕ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.15.01,"КАБЕЛИ ВИДЕОСКОПА ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.06.18,"ПОКРЫТИЯ СТЕРИЛЬНЫЕ ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ"""
01.02.10.48.07.15,"ПРИНАДЛЕЖНОСТИ МЕДИЦИНСКИЕ ДЛЯ ВИДЕОПРОЦЕССОРОВ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.14.04,"ПЕДАЛИ ДЛЯ ЭЛЕКТРОХИРУРГИЧЕСКОГО АППАРАТА ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.14.03,"КАБЕЛИ СОЕДИНИТЕЛЬНЫЕ МЕДИЦИНСКИЕ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.14.02,"НАБОРЫ ТРУБОК МЕДИЦИНСКИХ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.14.01,"КОНТЕЙНЕРЫ ДЛЯ ВОДЫ ДЛЯ ЭНДОСКОПИЧЕСКОЙ ПОМПЫ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.14,"ПРИНАДЛЕЖНОСТИ ДЛЯ ЭНДОСКОПИЧЕСКОЙ ПОМПЫ ""АФУ-100"" ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.13.05,"ФИЛЬТРЫ АСПИРАЦИОННЫХ ТРУБОК ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.13.03,"ТРУБКИ СОЕДИНИТЕЛЬНЫЕ МЕДИЦИНСКИЕ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.13.04,"ТРУБКИ ОТ БАНКИ ДО ФИЛЬТРА ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.13.02,"ПОДВОДЯЩИЕ ТРУБКИ К ЭНДОСКОПУ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.06.19,"РЕДУКТОРА-ПРЕОБРАЗОВАТЕЛИ ДЛЯ УЛЬТРАЗВУКОВОГО ЛИТОТРИПТОРА ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ"""
01.02.10.48.07.16,"ПРИНАДЛЕЖНОСТИ МЕДИЦИНСКИЕ ДЛЯ ИСТОЧНИКОВ СВЕТА ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.15.02,"КОЛПАЧКИ ДЛЯ ЦВЕТОВОГО БАЛАНСА АВТОФЛУОРЕСЦЕНЦИИ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.08.01,"РАСХОДНЫЕ ПРИНАДЛЕЖНОСТИ ДЛЯ ИЗМЕРЕНИЯ ПУЛЬСОКСИМЕТРИИ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.08,"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.07.18,"ТРУБКИ ГАЗОВЫЕ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.20,"УЛЬТРАЗВУКОВЫЕ БАЛЛОНЫ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.21,"ШИНИРУЮЩИЕ ТРУБКИ ДЛЯ ЭНТЕРОСКОПА ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.17,"ПРИНАДЛЕЖНОСТИ МЕДИЦИНСКИЕ ДЛЯ УЛЬТРАЗВУКОВЫХ ДАТЧИКОВ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.19,"ТРУБКИ ДОПОЛНИТЕЛЬНЫЕ ДЛЯ ВОДЫ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.08.03.03,"РАСХОДНЫЕ ПРИНАДЛЕЖНОСТИ ДЛЯ ИЗМЕРЕНИЯ ИНВАЗИВНОГО АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.06.14,"ПАКЕТЫ СТЕРИЛЬНЫЕ ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ"""
01.02.10.48.07.04,"ВЧ-ЭЛЕКТРОДЫ ДЛЯ РЕЗЕКТОСКОПА БИПОЛЯРНОГО ДЛЯ РЕЗЕКЦИИ В ФИЗИОЛОГИЧЕСКОМ РАСТВОРЕ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.05,"ДИСТАЛЬНЫЕ КОЛПАЧКИ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.07.06,"КЛАПАНЫ АСПИРАЦИИ ДЛЯ ОБОРУДОВАНИЯ ""OLYMPUS"""
01.02.10.48.06.21,"ТРОАКАРЫ ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ"""
01.02.10.48.08.03.02,"ТРУБКИ ДЛЯ ИЗМЕРЕНИЯ НЕИНВАЗИВНОГО АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.08.04,"РАСХОДНЫЕ ПРИНАДЛЕЖНОСТИ ДЛЯ ИЗМЕРЕНИЯ ЭЛЕКТРОКАРДИОГРАФИИ (ЭКГ) ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.08.01.01,"ДАТЧИКИ ПУЛЬСОКСИМЕТРИЧЕСКИЕ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.08.01.02,"КАБЕЛЬ-АДАПТЕРЫ ДЛЯ ПОДКЛЮЧЕНИЯ ПУЛЬСОКСИМЕТРИЧЕСКИХ ДАТЧИКОВ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.08.02,"ДАТЧИКИ ТЕМПЕРАТУРНЫЕ МЕДИЦИНСКИЕ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.08.03,"РАСХОДНЫЕ ПРИНАДЛЕЖНОСТИ ДЛЯ ИЗМЕРЕНИЯ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.08.03.01,"РАСХОДНЫЕ ПРИНАДЛЕЖНОСТИ ДЛЯ ИЗМЕРЕНИЯ НЕИНВАЗИВНОГО АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.09,"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ ЭЛЕКТРОХИРУРГИЧЕСКИХ АППАРАТОВ ""ERBE"""
01.02.10.48.09.01,"ДЕРЖАТЕЛИ ЭЛЕКТРОДОВ МОНОПОЛЯРНЫЕ ДЛЯ АППАРАТОВ ""ERBE"""
01.02.10.48.09.02,"ЗОНДЫ АРГОНОПЛАЗМЕННЫЕ ДЛЯ АППАРАТОВ ""ERBE"""
01.02.10.48.09.03,"ИНСТРУМЕНТЫ ЛИГИРУЮЩИЕ ДЛЯ АППАРАТОВ ""ERBE"""
01.02.10.48.09.11,"ЭЛЕКТРОДЫ НЕЙТРАЛЬНЫЕ ДЛЯ АППАРАТОВ ""ERBE"""
01.02.10.48.10,"РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ ДЛЯ ОБОРУДОВАНИЯ ""COVIDIEN"""
01.02.10.48.10.01,"РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ ДЛЯ БЕСПРОВОДНОГО УЛЬТРАЗВУКОВОГО ДИССЕКТОРА ""SONICISION"""
01.02.10.48.10.02,"РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ К ОБОРУДОВАНИЮ ДЛЯ УДАЛЕНИЯ ДЫМА ""RAPIDVAC"""
01.02.10.48.10.03,"ИНСТРУМЕНТЫ И ПРИНАДЛЕЖНОСТИ К АППАРАТУ ЭЛЕКТРОХИРУРГИЧЕСКОМУ СЕРИИ ""FORCE"""
01.02.10.48.09.06.02,"АППЛИКАТОРЫ МЕДИЦИНСКИЕ ДЛЯ АППАРАТОВ ""ERBE"""
01.02.10.48.09.04,"СОЕДИНИТЕЛЬНЫЕ КАБЕЛИ И ПЕРЕХОДНИКИ МЕДИЦИНСКИЕ ДЛЯ АППАРАТОВ ""ERBE"""
01.02.10.48.09.06.03,"НОЖИ ГИБРИДНЫЕ С ВОДОСТРУЙНЫМ КАНАЛОМ ДЛЯ АППАРАТОВ ""ERBE"""
01.02.10.48.09.06.04,"КАРТРИДЖИ ДЛЯ ВОДОСТРУЙНОГО ДИССЕКТОРА ДЛЯ АППАРАТОВ ""ERBE"""
01.02.10.48.12.03,"ИНСТРУМЕНТЫ ДЛЯ БИПОЛЯРНОЙ ДИССЕКЦИИ И КОАГУЛЯЦИИ К ГЕНЕРАТОРУ УЛЬТРАЗВУКОВОМУ ЭЛЕКТРОХИРУРГИЧЕСКОМУ ""GEN11/GEN04"" (""JOHNSON AND JOHNSON"")"
01.02.10.48.12.04,"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ БИПОЛЯРНОЙ ДИССЕКЦИИ И КОАГУЛЯЦИИ К ГЕНЕРАТОРУ УЛЬТРАЗВУКОВОМУ ЭЛЕКТРОХИРУРГИЧЕСКОМУ ""GEN11/GEN04"" (""JOHNSON AND JOHNSON"")"
01.02.10.48.12.05,"ДОПОЛНИТЕЛЬНЫЕ КОМПЛЕКТУЮЩИЕ К ГЕНЕРАТОРУ УЛЬТРАЗВУКОВОМУ ЭЛЕКТРОХИРУРГИЧЕСКОМУ ""GEN11/GEN04"" (""JOHNSON AND JOHNSON"")"
01.02.10.48.11,"РАСХОДНЫЕ МАТЕРИАЛЫ К АППАРАТУ УПРАВЛЯЕМОЙ НОРМО- И ГИПОТЕРМИИ ""ARCTIC SUN"""
01.02.10.48.12,"РАСХОДНЫЕ МАТЕРИАЛЫ К ГЕНЕРАТОРУ УЛЬТРАЗВУКОВОМУ ЭЛЕКТРОХИРУРГИЧЕСКОМУ ""GEN11/GEN04"" (""JOHNSON AND JOHNSON"")"
01.02.10.48.12.01,"ИНСТРУМЕНТЫ ДЛЯ УЛЬТРАЗВУКОВОЙ ДИССЕКЦИИ И КОАГУЛЯЦИИ К ГЕНЕРАТОРУ УЛЬТРАЗВУКОВОМУ ЭЛЕКТРОХИРУРГИЧЕСКОМУ ""GEN11/GEN04"" (""JOHNSON AND JOHNSON"")"
01.02.10.48.12.02,"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ УЛЬТРАЗВУКОВОЙ ДИССЕКЦИИ И КОАГУЛЯЦИИ К ГЕНЕРАТОРУ УЛЬТРАЗВУКОВОМУ ЭЛЕКТРОХИРУРГИЧЕСКОМУ ""GEN11/GEN04"" (""JOHNSON AND JOHNSON"")"
01.02.10.48.13,"РАСХОДНЫЕ МАТЕРИАЛЫ К СТАНЦИЯМ СЕРИИ ""STEALTHSTATION"" И ""STEALTH"" (MEDTRONIC NAVIGATION INC)"
01.02.10.48.09.05,"ПОДУШЕЧКИ ДЛЯ ОЧИСТКИ ЭЛЕКТРОДОВ С КЛЕЕВОЙ ПЛЕНКОЙ ДЛЯ АППАРАТОВ ""ERBE"""
01.02.10.48.13.01,"ИНСТРУМЕНТЫ ДЛЯ БИОПСИИ ГОЛОВНОГО МОЗГА К СТАНЦИЯМ СЕРИИ ""STEALTHSTATION"" И ""STEALTH"" (MEDTRONIC NAVIGATION INC)"
01.02.10.48.13.02,"ИНСТРУМЕНТЫ ДЛЯ ЭЛЕКТРОМАГНИТНОЙ НАВИГАЦИИ К СТАНЦИЯМ СЕРИИ ""STEALTHSTATION"" И ""STEALTH"" (MEDTRONIC NAVIGATION INC)"
01.02.10.48.13.03,"РЕНТГЕН-КОНТРАСТНЫЕ ПРИКЛЕИВАЮЩИЕСЯ МЕТКИ В КОМПЛЕКТЕ С ХИРУРГИЧЕСКИМ МАРКЕРОМ К СТАНЦИЯМ СЕРИИ ""STEALTHSTATION"" И ""STEALTH"" (MEDTRONIC NAVIGATION INC)"
01.02.10.48.13.04,"СВЕТООТРАЖАЮЩИЕ СФЕРЫ МЕДИЦИНСКИЕ К СТАНЦИЯМ СЕРИИ ""STEALTHSTATION"" И ""STEALTH"" (MEDTRONIC NAVIGATION INC)"
01.02.10.48.13.05,"НАВИГИРУЕМЫЕ ИНСТРУМЕНТЫ ДЛЯ СПИНАЛЬНОЙ ХИРУРГИИ К СТАНЦИЯМ СЕРИИ ""STEALTHSTATION"" И ""STEALTH"" (MEDTRONIC NAVIGATION INC)"
01.02.10.48.15,"РАСХОДНЫЙ МАТЕРИАЛ ДЛЯ СИСТЕМ ВНУТРИСОСУДИСТЫХ УЛЬТРАЗВУКОВЫХ ИССЛЕДОВАНИЙ S5/S5I ПРОИЗВОДСТВА ""VOLCANO CORP"""
01.02.10.48.15.02,"ПРОВОДНИКИ ВНУТРИСОСУДИСТЫЕ ДЛЯ СИСТЕМ ВНУТРИСОСУДИСТЫХ УЛЬТРАЗВУКОВЫХ ИССЛЕДОВАНИЙ S5/S5I ПРОИЗВОДСТВА ""VOLCANO CORP"""
01.02.10.48.15.03,"УСТРОЙСТВА ДЛЯ ПРОТЯЖКИ ДЛЯ СИСТЕМ ВНУТРИСОСУДИСТЫХ УЛЬТРАЗВУКОВЫХ ИССЛЕДОВАНИЙ S5/S5I ПРОИЗВОДСТВА ""VOLCANO CORP"""
01.02.10.48.16,"РЕАГЕНТЫ ДЛЯ ЭЛЕКТРОФОРЕЗА В ГЕЛЕ АГАРОЗЫ ДЛЯ АНАЛИЗАТОРОВ ""SEBIA S.A"""
01.02.10.48.16.01,"БЕЛКОВЫЕ ФРАКЦИИ КРОВИ И МОЧИ ДЛЯ АНАЛИЗАТОРОВ ""SEBIA S.A"""
01.02.10.48.09.06,"ПРИНАДЛЕЖНОСТИ ДЛЯ ВОДОСТРУЙНОГО ДИССЕКТОРА ДЛЯ АППАРАТОВ ""ERBE"""
01.02.10.48.16.02,"БЕЛКОВЫЕ ФРАКЦИИ КРОВИ ДЛЯ АНАЛИЗАТОРОВ ""SEBIA S.A"""
01.02.10.48.16.03,"БЕЛКОВЫЕ ФРАКЦИИ МОЧИ ДЛЯ АНАЛИЗАТОРОВ ""SEBIA S.A"""
01.02.10.48.16.04,"БЕЛКОВЫЕ ФРАКЦИИ СПИННОМОЗГОВОЙ ЖИДКОСТИ ДЛЯ АНАЛИЗАТОРОВ ""SEBIA S.A"""
01.02.10.48.15.01,"ДАТЧИКИ УЛЬТРАЗВУКОВЫЕ ВНУТРИСОСУДИСТЫЕ ДЛЯ СИСТЕМ ВНУТРИСОСУДИСТЫХ УЛЬТРАЗВУКОВЫХ ИССЛЕДОВАНИЙ S5/S5I ПРОИЗВОДСТВА ""VOLCANO CORP"""
01.02.10.48.16.05,"ФРАКЦИИ ИЗОФЕРМЕНТОВ ДЛЯ АНАЛИЗАТОРОВ ""SEBIA S.A"""
01.02.10.48.17.01,"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АППАРАТА ""CELL SAVER"
01.02.10.48.18.01,"ИНCТРУМЕНТЫ-РУЧКИ (ДЕРЖАТЕЛИ) ДЛЯ ЭЛЕКТРОДОВ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.48.18.02,"ИНСТРУМЕНТЫ БИПОЛЯРНЫЕ ДЛЯ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.48.18.03,"ИНСТРУМЕНТЫ МОНОПОЛЯРНЫЕ ДЛЯ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.48.18.09,"НОЖНИЦЫ БИПОЛЯРНЫЕ ДЛЯ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.48.09.06.01,"АРГОПЛАЗМЕННЫЕ ЗОНДЫ (АРС-ЗОНДЫ) ГИБРИДНЫЕ ДЛЯ АППАРАТОВ ""ERBE"""
01.02.10.48.08.05,"РАСХОДНЫЕ ПРИНАДЛЕЖНОСТИ ДЛЯ ИЗМЕРЕНИЯ КАПНОГРАФИИ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.08.06,"РАСХОДНЫЕ ПРИНАДЛЕЖНОСТИ ДЛЯ ФЕТАЛЬНЫХ МОНИТОРОВ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.08.07,"РАСХОДНЫЕ ПРИНАДЛЕЖНОСТИ ДЛЯ ДЕФИБРИЛЛЯТОРА ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.08.08,"МНОГОПАРАМЕТРИЧЕСКИЕ МОДУЛИ ДЛЯ ОБОРУДОВАНИЯ ""PHILIPS"""
01.02.10.48.18.10,"ПИНЦЕТЫ БИПОЛЯРНЫЕ ДЛЯ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.48.18.11,"ПИНЦЕТЫ МОНОПОЛЯРНЫЕ ДЛЯ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.48.18.12,"ПОДУШКИ ДЛЯ ОЧИСТКИ ЭЛЕКТРОДОВ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.48.18.14,"УДЛИНИТЕЛИ МОНОПОЛЯРНЫХ ЭЛЕКТРОДОВ ДЛЯ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.48.18.05,"КОЛПАЧКИ ЗАПЕЧАТЫВАЮЩИЕ ДЛЯ ЛАПАРОСКОПИЧЕСКИХ ИНСТРУМЕНТОВ ДЛЯ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.48.18.06,"КОНТЕЙНЕРЫ С МОНОПОЛЯРНЫМИ ЭЛЕКТРОДАМИ ДЛЯ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.09.02,НЕРАССАСЫВАЮЩИЙСЯ ШОВНЫЙ МАТЕРИАЛ
01.02.10.09.02.01,"МОНОФИЛАМЕНТНАЯ НЕРАССАСЫВАЮЩАЯСЯ ПОЛИПРОПИЛЕНОВАЯ НИТЬ (ЭКВИВАЛЕНТЫ: ПРОЛЕН, ПРЕМИЛЕН)"
01.02.10.09.02.02,"МОНОФИЛАМЕНТНАЯ НЕРАССАСЫВАЮЩАЯСЯ ПОЛИАМИДНАЯ НИТЬ (ЭКВИВАЛЕНТЫ: ЭТИЛОН, ДАФИЛОН)"
01.02.10.09.02.03,МОНОФИЛАМЕНТНАЯ НЕРАССАСЫВАЮЩАЯСЯ ПОЛИАМИДНАЯ НИТЬ ЧАСТИЧНО ТЕРЯЮЩИЙ ПРОЧНОСТЬ НА РАЗРЫВ (ЭКВИВАЛЕНТЫ: ЭТИЛОН / МОНОСОФ / ДАФИЛОН)
01.02.10.09,МАТЕРИАЛ ШОВНЫЙ
01.02.10.09.01,РАССАСЫВАЮЩИЙСЯ ШОВНЫЙ МАТЕРИАЛ
01.02.10.09.02.04,"МОНОФИЛАМЕНТНАЯ НЕРАССАСЫВАЮЩАЯСЯ НЕЙЛОНОВАЯ НИТЬ (ЭКВИВАЛЕНТЫ: ЭТИЛОН, ДАФИЛОН)"
01.02.10.09.02.05,МОНОФИЛАМЕНТНАЯ НЕРАССАСЫВАЮЩАЯСЯ СТАЛЬНАЯ НИТЬ (ЭКВИВАЛЕНТЫ: ПРОВОЛОКА СТАЛЬНАЯ)
01.02.10.09.02.06,"МОНОФИЛАМЕНТНАЯ НЕРАССАСЫВАЮЩАЯСЯ СИНТЕТИЧЕСКАЯ НИТЬ С НАСЕЧКАМИ ДЛЯ БЕЗУЗЛОВОГО ШВА (ЭКВИВАЛЕНТЫ: V-LOC, АПТОС)"
01.02.10.09.02.07,МОНОФИЛАМЕНТНАЯ НЕРАССАСЫВАЮЩАЯСЯ СИЛИКОНОВАЯ ЭЛАСТИЧНАЯ НИТЬ (ЭКВИВАЛЕНТЫ: НОВАФИЛ / ПРОНОВА / ВАСКУФИЛ / ПРЕМИО)
01.02.10.48.18.07,"НАБОРЫ ДЛЯ ИНСТРУМЕНТОВ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.09.02.08,"ПЛЕТЕНАЯ НЕРАССАСЫВАЮЩАЯСЯ ПОЛИЭФИРНАЯ НИТЬ С ПОКРЫТИЕМ (ЭКВИВАЛЕНТЫ: ЭТИБОНД, ПРЕМИКРОН)"
01.02.10.09.02.09,ПЛЕТЕНАЯ НЕРАССАСЫВАЮЩАЯСЯ ПОЛИЭФИРНАЯ НИТЬ (ЭКВИВАЛЕНТЫ: ЛАВСАН)
01.02.10.09.02.10,"ПЛЕТЕНАЯ НЕРАССАСЫВАЮЩАЯСЯ ПОЛИАМИДНАЯ НИТЬ (ЭКВИВАЛЕНТЫ: НУРОЛОН, ПОЛИАМИД)"
01.02.10.09.02.11,ПЛЕТЕНАЯ НЕРАССАСЫВАЮЩАЯСЯ ПОЛИФИЛАМЕНТНАЯ НИТЬ С ВПЛЕТЕНИЕМ НЕЙЛОНОВОЙ НИТИ ДЛЯ ОРТОПЕДИИ И ТРАВМАТОЛОГИИ (ЭКВИВАЛЕНТЫ: ОРТОКОРД)
01.02.10.09.02.12,ПЛЕТЕНАЯ НЕРАССАСЫВАЮЩАЯСЯ ПОЛИФИЛАМЕНТНАЯ НИТЬ С ВПЛЕТЕНИЕМ ПОЛИПРОПИЛЕНОВОЙ НИТИ ДЛЯ ОРТОПЕДИИ И ТРАВМАТОЛОГИИ (ЭКВИВАЛЕНТЫ: ОРТОКОРД)
01.02.10.09.02.13,ПЛЕТЕНАЯ НЕРАССАСЫВАЮЩАЯСЯ ПОЛИЭСТЕРОВАЯ НИТЬ (ЭКВИВАЛЕНТЫ: ЭТИБОНД ЭКСЕЛ / ТИ-КРОН / ПРЕМИКРОН / МЕРСИЛЕН / НОВАФИЛ / ДАГРОФИЛ)
01.02.10.43.01.04,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ""ADVIA 2120I"""
01.02.10.43.01.05,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ""ADVIA 60"""
01.02.10.43.01.06,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ""ADVIA CENTAUR XP"""
01.02.10.43.01.07,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ""AUTOBLOT 3000"""
01.02.10.48.18.08,"НОЖИ СМЕННЫЕ ДЛЯ ИНСТРУМЕНТОВ АППАРАТОВ ЭЛЕКТРОХИРУРГИЧЕСКИХ ВЫСОКОЧАСТОТНЫХ ""ARC"""
01.02.10.43.01.08,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ""BIO-PLEX 2200"""
01.02.10.43.01.09,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ МОЧИ ""КЛИНИТЕК"" (CLINITEK)"
